VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X3', 'X5']",0.871,0.001,0.026,0.009,15,88,100
0+X,['X5'],0.267,0.05,0.261,0.042,15,27,100
0+X,['X5'],0.228,0.1,0.353,0.055,15,23,100
0+X,['X5'],0.04,0.5,0.508,0.009,15,4,100
0+X,[],0.0,1,nan,nan,15,0,100
0+X,[],0.0,5,nan,nan,15,0,100
0+Y,"['Y0', 'Y4', 'Y6', 'Y7']",0.129,0.001,0.023,0.013,15,13,100
0+Y,"['Y2', 'Y3', 'Y4', 'Y6', 'Y7']",0.733,0.05,0.167,0.08,15,74,100
0+Y,"['Y1', 'Y2', 'Y3', 'Y6', 'Y7']",0.772,0.1,0.187,0.088,15,78,100
0+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.96,0.5,0.222,0.112,15,97,100
0+Y,"['Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,1,0.228,0.121,15,101,100
0+Y,"['Y2', 'Y4', 'Y5', 'Y7']",1.0,5,0.221,0.122,15,101,100
1+X,"['X1', 'X2']",0.416,0.001,0.023,0.017,15,42,100
1+X,"['X1', 'X5']",0.505,0.05,0.172,0.031,15,51,100
1+X,"['X1', 'X5']",0.485,0.1,0.216,0.045,15,49,100
1+X,"['X0', 'X5']",0.376,0.5,0.285,0.121,15,38,100
1+X,"['X0', 'X5']",0.386,1,0.275,0.12,15,39,100
1+X,"['X0', 'X2', 'X3', 'X4', 'X5']",0.604,5,0.208,0.116,15,61,100
1+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y7']",0.584,0.001,0.018,0.011,15,59,100
1+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y7']",0.495,0.05,0.167,0.138,15,50,100
1+Y,"['Y1', 'Y2', 'Y4', 'Y5', 'Y6']",0.515,0.1,0.177,0.135,15,52,100
1+Y,"['Y1', 'Y2', 'Y5']",0.624,0.5,0.16,0.055,15,63,100
1+Y,"['Y1', 'Y2', 'Y5']",0.614,1,0.154,0.043,15,62,100
1+Y,['Y5'],0.396,5,0.155,0.026,15,40,100
2+X,"['X1', 'X2', 'X4', 'X5']",0.851,0.001,0.034,0.022,15,86,100
2+X,"['X1', 'X5']",0.455,0.05,0.167,0.123,15,46,100
2+X,['X5'],0.386,0.1,0.224,0.036,15,39,100
2+X,['X5'],0.307,0.5,0.523,0.092,15,31,100
2+X,['X5'],0.267,1,0.634,0.102,15,27,100
2+X,['X1'],0.01,5,0.103,0.0,15,1,100
2+Y,"['Y0', 'Y4', 'Y5', 'Y7']",0.149,0.001,0.039,0.026,15,15,100
2+Y,"['Y0', 'Y1', 'Y3', 'Y5', 'Y6']",0.545,0.05,0.234,0.142,15,55,100
2+Y,"['Y0', 'Y1', 'Y4', 'Y5']",0.614,0.1,0.26,0.153,15,62,100
2+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",0.693,0.5,0.268,0.142,15,70,100
2+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",0.733,1,0.273,0.14,15,74,100
2+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5']",0.99,5,0.39,0.24,15,100,100
3+X,"['X1', 'X2', 'X5', 'X6', 'X7']",0.97,0.001,0.022,0.007,15,98,100
3+X,"['X1', 'X7']",0.822,0.05,0.175,0.093,15,83,100
3+X,"['X1', 'X7']",0.822,0.1,0.23,0.121,15,83,100
3+X,"['X1', 'X7']",0.832,0.5,0.298,0.157,15,84,100
3+X,"['X1', 'X7']",0.861,1,0.295,0.156,15,87,100
3+X,"['X1', 'X2', 'X4', 'X5', 'X6', 'X7']",0.901,5,0.263,0.161,15,91,100
3+Y,"['Y4', 'Y7']",0.03,0.001,0.024,0.007,15,3,100
3+Y,"['Y1', 'Y2', 'Y4', 'Y7']",0.178,0.05,0.13,0.063,15,18,100
3+Y,"['Y0', 'Y2', 'Y4', 'Y7']",0.178,0.1,0.137,0.047,15,18,100
3+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y7']",0.168,0.5,0.144,0.021,15,17,100
3+Y,"['Y0', 'Y1', 'Y4', 'Y5', 'Y7']",0.139,1,0.138,0.014,15,14,100
3+Y,['Y5'],0.099,5,0.233,0.005,15,10,100

Per dimension per factor winner
0+X,0.234
0+Y,0.766
1+X,0.462
1+Y,0.538
2+X,0.379
2+Y,0.621
3+X,0.868
3+Y,0.132

Per dimension winner
0+Y,0.766
1+Y,0.538
2+Y,0.621
3+X,0.868
