VAE_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
,0+X,"['X1', 'X2', 'X6', 'X7']",0.837,0.01,0.159,0.047,20,41,49
,0+X,"['X1', 'X2', 'X7']",0.776,0.05,0.379,0.122,20,38,49
,0+X,"['X1', 'X2', 'X7']",0.735,0.1,0.477,0.148,20,36,49
,0+X,"['X2', 'X7']",0.347,0.5,0.533,0.169,20,17,49
,0+X,"['X2', 'X7']",0.163,1,0.474,0.112,20,8,49
,0+X,"['X2', 'X5', 'X7']",0.204,5,0.208,0.096,20,10,49
,0+Y,"['Y2', 'Y5', 'Y6']",0.184,0.01,0.087,0.062,20,9,49
,0+Y,"['Y0', 'Y2', 'Y3', 'Y5', 'Y6', 'Y7']",0.245,0.05,0.132,0.083,20,12,49
,0+Y,"['Y0', 'Y2', 'Y3', 'Y5', 'Y7']",0.286,0.1,0.166,0.089,20,14,49
,0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5']",0.673,0.5,0.397,0.261,20,33,49
,0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5']",0.857,1,0.428,0.255,20,42,49
,0+Y,"['Y0', 'Y2', 'Y3', 'Y5']",0.816,5,0.459,0.236,20,40,49
,1+X,"['X4', 'X5']",0.878,0.01,0.099,0.04,20,43,49
,1+X,"['X4', 'X5']",0.837,0.05,0.251,0.039,20,41,49
,1+X,"['X4', 'X5']",0.735,0.1,0.328,0.042,20,36,49
,1+X,['X4'],0.429,0.5,0.362,0.071,20,21,49
,1+X,['X4'],0.429,1,0.334,0.068,20,21,49
,1+X,['X4'],0.449,5,0.28,0.068,20,22,49
,1+Y,"['Y2', 'Y5', 'Y7']",0.143,0.01,0.106,0.065,20,7,49
,1+Y,"['Y2', 'Y4', 'Y5']",0.184,0.05,0.121,0.078,20,9,49
,1+Y,"['Y2', 'Y3', 'Y5', 'Y6']",0.286,0.1,0.211,0.134,20,14,49
,1+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",0.592,0.5,0.271,0.104,20,29,49
,1+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",0.592,1,0.255,0.092,20,29,49
,1+Y,"['Y1', 'Y2', 'Y3', 'Y5', 'Y6']",0.571,5,0.233,0.076,20,28,49
,2+X,"['X0', 'X5']",0.816,0.01,0.157,0.07,20,40,49
,2+X,"['X0', 'X5']",0.755,0.05,0.319,0.203,20,37,49
,2+X,"['X0', 'X5']",0.694,0.1,0.404,0.235,20,34,49
,2+X,"['X0', 'X5']",0.714,0.5,0.558,0.188,20,35,49
,2+X,"['X0', 'X5']",0.612,1,0.608,0.196,20,30,49
,2+X,"['X0', 'X5']",0.51,5,0.563,0.297,20,25,49
,2+Y,"['Y1', 'Y3', 'Y5', 'Y7']",0.204,0.01,0.132,0.076,20,10,49
,2+Y,"['Y1', 'Y3', 'Y5', 'Y7']",0.265,0.05,0.158,0.095,20,13,49
,2+Y,"['Y1', 'Y3', 'Y4', 'Y5', 'Y7']",0.327,0.1,0.205,0.122,20,16,49
,2+Y,"['Y1', 'Y3', 'Y4', 'Y5', 'Y7']",0.306,0.5,0.179,0.072,20,15,49
,2+Y,"['Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.408,1,0.245,0.12,20,20,49
,2+Y,"['Y3', 'Y5', 'Y6']",0.51,5,0.351,0.152,20,25,49
,3+X,"['X1', 'X2', 'X6', 'X7']",0.939,0.01,0.056,0.041,20,46,49
,3+X,"['X1', 'X2', 'X6', 'X7']",0.898,0.05,0.14,0.046,20,44,49
,3+X,"['X1', 'X6', 'X7']",0.878,0.1,0.239,0.047,20,43,49
,3+X,"['X1', 'X5', 'X6', 'X7']",0.878,0.5,0.481,0.149,20,43,49
,3+X,"['X1', 'X5', 'X6', 'X7']",0.878,1,0.514,0.198,20,43,49
,3+X,"['X1', 'X3', 'X5', 'X6', 'X7']",0.571,5,0.327,0.141,20,28,49
,3+Y,"['Y2', 'Y5', 'Y6']",0.082,0.01,0.12,0.034,20,4,49
,3+Y,"['Y2', 'Y4', 'Y5', 'Y7']",0.122,0.05,0.154,0.057,20,6,49
,3+Y,"['Y2', 'Y3', 'Y4', 'Y5']",0.143,0.1,0.175,0.062,20,7,49
,3+Y,"['Y3', 'Y4', 'Y5']",0.143,0.5,0.18,0.054,20,7,49
,3+Y,"['Y3', 'Y4', 'Y5']",0.143,1,0.168,0.041,20,7,49
,3+Y,['Y5'],0.449,5,0.622,0.297,20,22,49
