VAE_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,[],0.0,0.05,nan,nan,5,0,49
0+X,[],0.0,0.1,nan,nan,5,0,49
0+X,[],0.0,0.5,nan,nan,5,0,49
0+X,[],0.0,1,nan,nan,5,0,49
0+Y,"['Y1', 'Y2', 'Y3', 'Y6', 'Y7']",1.0,0.05,0.13,0.085,5,50,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5', 'Y6']",1.0,0.1,0.145,0.081,5,50,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.5,0.158,0.061,5,50,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5', 'Y6']",1.0,1,0.159,0.052,5,50,49
1+X,"['X3', 'X4', 'X5']",0.28,0.05,0.286,0.031,5,14,49
1+X,['X4'],0.1,0.1,0.358,0.008,5,5,49
1+X,['X4'],0.1,0.5,0.318,0.01,5,5,49
1+X,['X4'],0.18,1,0.258,0.024,5,9,49
1+Y,"['Y0', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.72,0.05,0.138,0.082,5,36,49
1+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.9,0.1,0.17,0.097,5,45,49
1+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.9,0.5,0.16,0.072,5,45,49
1+Y,"['Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.82,1,0.145,0.051,5,41,49
2+X,['X5'],0.14,0.05,0.253,0.011,5,7,49
2+X,['X5'],0.1,0.1,0.269,0.008,5,5,49
2+X,['X0'],0.02,0.5,0.288,0.0,5,1,49
2+X,['X0'],0.04,1,0.28,0.011,5,2,49
2+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.86,0.05,0.142,0.083,5,43,49
2+Y,"['Y1', 'Y3', 'Y6', 'Y7']",0.9,0.1,0.151,0.079,5,45,49
2+Y,"['Y0', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.98,0.5,0.162,0.065,5,49,49
2+Y,"['Y0', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",0.96,1,0.159,0.051,5,48,49
3+X,"['X1', 'X6', 'X7']",0.36,0.05,0.177,0.071,5,18,49
3+X,"['X1', 'X7']",0.28,0.1,0.205,0.07,5,14,49
3+X,"['X1', 'X7']",0.22,0.5,0.244,0.055,5,11,49
3+X,"['X1', 'X4', 'X5', 'X6', 'X7']",0.3,1,0.189,0.051,5,15,49
3+Y,"['Y0', 'Y3', 'Y4']",0.64,0.05,0.17,0.064,5,32,49
3+Y,"['Y2', 'Y3', 'Y4']",0.72,0.1,0.175,0.065,5,36,49
3+Y,"['Y2', 'Y3', 'Y4']",0.78,0.5,0.185,0.07,5,39,49
3+Y,"['Y2', 'Y3', 'Y4', 'Y5']",0.7,1,0.185,0.062,5,35,49
0+Y,1.0
1+Y,0.835
2+Y,0.925
3+Y,0.71
