VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld6
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,0.2365,0.348,['X2'],1,0.5,0.508,0.122,15,70,200
0+X,0.3765,0.378,"['X2', 'X6', 'X7']",3,0.75,0.525,0.165,15,76,200
0+X,0.3815,0.388,"['X2', 'X6', 'X7']",3,1,0.531,0.192,15,78,200
0+X,0.4415,0.383,"['X2', 'X5', 'X6', 'X7']",4,1.5,0.51,0.252,15,77,200
0+X,0.2695,0.164,"['X5', 'X6', 'X7']",3,2,0.171,0.044,15,33,200
0+Y,0.6385000000000001,0.652,"['Y0', 'Y3', 'Y4', 'Y6', 'Y7']",5,0.5,0.254,0.1,15,131,200
0+Y,0.5609999999999999,0.622,"['Y3', 'Y4', 'Y6', 'Y7']",4,0.75,0.248,0.097,15,125,200
0+Y,0.4935,0.612,"['Y3', 'Y4', 'Y7']",3,1,0.246,0.095,15,123,200
0+Y,0.496,0.617,"['Y3', 'Y4', 'Y7']",3,1.5,0.263,0.102,15,124,200
0+Y,0.6679999999999999,0.836,"['Y2', 'Y3', 'Y4', 'Y7']",4,2,0.392,0.221,15,168,200
1+X,0.381,0.512,"['X1', 'X5']",2,0.5,0.493,0.157,15,103,200
1+X,0.3715,0.493,"['X1', 'X5']",2,0.75,0.529,0.183,15,99,200
1+X,0.364,0.478,"['X1', 'X5']",2,1,0.548,0.199,15,96,200
1+X,0.3665,0.483,"['X1', 'X5']",2,1.5,0.546,0.232,15,97,200
1+X,0.4365,0.498,"['X1', 'X2', 'X5']",3,2,0.528,0.261,15,100,200
1+Y,0.494,0.488,"['Y0', 'Y1', 'Y2', 'Y4']",4,0.5,0.234,0.088,15,98,200
1+Y,0.5035000000000001,0.507,"['Y0', 'Y1', 'Y2', 'Y4']",4,0.75,0.227,0.081,15,102,200
1+Y,0.511,0.522,"['Y0', 'Y1', 'Y2', 'Y4']",4,1,0.223,0.076,15,105,200
1+Y,0.446,0.517,"['Y0', 'Y2', 'Y4']",3,1.5,0.222,0.075,15,104,200
1+Y,0.4385,0.502,"['Y0', 'Y2', 'Y4']",3,2,0.228,0.08,15,101,200
2+X,0.095,0.065,['X6'],1,0.5,0.481,0.006,15,13,200
2+X,0.065,0.005,['X6'],1,0.75,0.507,0.0,15,1,200
2+X,0.0,0.0,[],0,1,nan,nan,15,0,200
2+X,0.175,0.1,"['X0', 'X2']",2,1.5,0.468,0.043,15,20,200
2+X,0.299,0.348,"['X0', 'X2']",2,2,0.373,0.121,15,70,200
2+Y,0.78,0.935,"['Y1', 'Y2', 'Y4', 'Y6', 'Y7']",5,0.5,0.291,0.13,15,188,200
2+Y,0.8725,0.995,"['Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",6,0.75,0.312,0.136,15,200,200
2+Y,0.875,1.0,"['Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",6,1,0.315,0.137,15,201,200
2+Y,0.7625,0.9,"['Y1', 'Y2', 'Y4', 'Y5', 'Y7']",5,1.5,0.298,0.132,15,181,200
2+Y,0.6385000000000001,0.652,"['Y1', 'Y2', 'Y4', 'Y5', 'Y7']",5,2,0.281,0.133,15,131,200
3+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
3+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
3+X,0.0,0.0,[],0,1,nan,nan,15,0,200
3+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
3+X,0.0,0.0,[],0,2,nan,nan,15,0,200
3+Y,0.625,1.0,"['Y4', 'Y5']",2,0.5,0.085,0.001,15,201,200
3+Y,0.625,1.0,"['Y4', 'Y5']",2,0.75,0.092,0.001,15,201,200
3+Y,0.5625,1.0,['Y4'],1,1,0.096,0.001,15,201,200
3+Y,0.5625,1.0,['Y4'],1,1.5,0.101,0.001,15,201,200
3+Y,0.5625,1.0,['Y4'],1,2,0.104,0.001,15,201,200
4+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,2,nan,nan,15,0,200
4+Y,0.5625,1.0,['Y2'],1,0.5,0.092,0.001,15,201,200
4+Y,0.5625,1.0,['Y2'],1,0.75,0.097,0.001,15,201,200
4+Y,0.5625,1.0,['Y2'],1,1,0.1,0.001,15,201,200
4+Y,0.5625,1.0,['Y2'],1,1.5,0.104,0.001,15,201,200
4+Y,0.5625,1.0,['Y2'],1,2,0.106,0.001,15,201,200
5+X,0.411,0.572,"['X1', 'X5']",2,0.5,0.44,0.085,15,115,200
5+X,0.3935,0.537,"['X1', 'X5']",2,0.75,0.474,0.096,15,108,200
5+X,0.364,0.478,"['X1', 'X5']",2,1,0.494,0.107,15,96,200
5+X,0.2465,0.368,['X5'],1,1.5,0.514,0.109,15,74,200
5+X,0.14700000000000002,0.169,['X5'],1,2,0.442,0.096,15,34,200
5+Y,0.40149999999999997,0.428,"['Y2', 'Y4', 'Y6']",3,0.5,0.184,0.102,15,86,200
5+Y,0.41900000000000004,0.463,"['Y2', 'Y4', 'Y6']",3,0.75,0.206,0.119,15,93,200
5+Y,0.511,0.522,"['Y2', 'Y4', 'Y6', 'Y7']",4,1,0.24,0.144,15,105,200
5+Y,0.5660000000000001,0.632,"['Y2', 'Y4', 'Y6', 'Y7']",4,1.5,0.291,0.178,15,127,200
5+Y,0.6655,0.831,"['Y2', 'Y4', 'Y6', 'Y7']",4,2,0.364,0.205,15,167,200

Per dimension per factor winner
latent_dim + gt_factor,ratio_recall,ratio
0+X,0.341,0.332
0+Y,0.571,0.668
1+X,0.384,0.493
1+Y,0.479,0.507
2+X,0.127,0.104
2+Y,0.786,0.896
3+X,0.0,0.0
3+Y,0.588,1.0
4+X,0.0,0.0
4+Y,0.562,1.0
5+X,0.312,0.425
5+Y,0.513,0.575

Per dimension winner: ratio_recall
latent_dim + gt_factor,ratio_recall
0+Y,0.571
1+Y,0.479
2+Y,0.786
3+Y,0.588
4+Y,0.562
5+Y,0.513

Per dimension winner: ratio
latent_dim + gt_factor,ratio
0+Y,0.668
1+Y,0.507
2+Y,0.896
3+Y,1.0
4+Y,1.0
5+Y,0.575
