VAEConv2d_v2_CausalDsprite_ber_shape2_scale5_ld2
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,"['X1', 'X2', 'X4']",0.861,0.001,0.024,0.01,15,87,100
0+X,"['X1', 'X4']",0.505,0.05,0.381,0.139,15,51,100
0+X,['X1'],0.178,0.1,0.661,0.017,15,18,100
0+X,[],0.0,0.5,nan,nan,15,0,100
0+X,[],0.0,1,nan,nan,15,0,100
0+X,[],0.0,5,nan,nan,15,0,100
0+Y,"['Y0', 'Y1', 'Y5', 'Y6', 'Y7']",0.139,0.001,0.026,0.015,15,14,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y6', 'Y7']",0.495,0.05,0.148,0.099,15,50,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",0.822,0.1,0.224,0.134,15,83,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.5,0.307,0.209,15,101,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,1,0.309,0.208,15,101,100
0+Y,"['Y0', 'Y1', 'Y2', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,5,0.312,0.205,15,101,100
1+X,"['X0', 'X1', 'X2', 'X4', 'X5', 'X6', 'X7']",1.0,0.001,0.013,0.005,15,101,100
1+X,"['X0', 'X1', 'X4', 'X7']",0.95,0.05,0.096,0.032,15,96,100
1+X,"['X0', 'X1', 'X4', 'X7']",0.95,0.1,0.167,0.063,15,96,100
1+X,"['X0', 'X1', 'X4', 'X7']",0.96,0.5,0.304,0.164,15,97,100
1+X,"['X0', 'X1', 'X2', 'X4', 'X7']",0.98,1,0.314,0.186,15,99,100
1+X,"['X0', 'X1', 'X2', 'X4', 'X5', 'X7']",1.0,5,0.311,0.205,15,101,100
1+Y,[],0.0,0.001,nan,nan,15,0,100
1+Y,"['Y0', 'Y1']",0.05,0.05,0.169,0.036,15,5,100
1+Y,"['Y0', 'Y1']",0.05,0.1,0.175,0.038,15,5,100
1+Y,"['Y0', 'Y1', 'Y7']",0.04,0.5,0.182,0.016,15,4,100
1+Y,['Y7'],0.02,1,0.171,0.007,15,2,100
1+Y,[],0.0,5,nan,nan,15,0,100

Per dimension per factor winner
0+X,0.257
0+Y,0.743
1+X,0.973
1+Y,0.027

Per dimension winner
0+Y,0.743
1+X,0.973
