VAE_CausalDsprite_ber_shape2_scale5_ld4
latent_dim + gt_factor,unique_classes,ratio,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+X,[],0.0,0.05,nan,nan,3,0,49
0+X,[],0.0,0.1,nan,nan,3,0,49
0+X,[],0.0,0.5,nan,nan,3,0,49
0+X,[],0.0,1,nan,nan,3,0,49
0+Y,"['Y2', 'Y3', 'Y5', 'Y6']",1.0,0.05,0.076,0.048,3,50,49
0+Y,"['Y0', 'Y2', 'Y3', 'Y5', 'Y7']",1.0,0.1,0.094,0.045,3,50,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5', 'Y7']",1.0,0.5,0.127,0.035,3,50,49
0+Y,"['Y0', 'Y1', 'Y2', 'Y3', 'Y5', 'Y7']",1.0,1,0.134,0.03,3,50,49
1+X,[],0.0,0.05,nan,nan,3,0,49
1+X,[],0.0,0.1,nan,nan,3,0,49
1+X,[],0.0,0.5,nan,nan,3,0,49
1+X,['X4'],0.08,1,0.167,0.002,3,4,49
1+Y,"['Y0', 'Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.05,0.11,0.058,3,50,49
1+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.1,0.109,0.048,3,50,49
1+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",1.0,0.5,0.117,0.033,3,50,49
1+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y6']",0.92,1,0.117,0.022,3,46,49
2+X,[],0.0,0.05,nan,nan,3,0,49
2+X,[],0.0,0.1,nan,nan,3,0,49
2+X,[],0.0,0.5,nan,nan,3,0,49
2+X,[],0.0,1,nan,nan,3,0,49
2+Y,"['Y0', 'Y1', 'Y3', 'Y4', 'Y5', 'Y7']",1.0,0.05,0.087,0.039,3,50,49
2+Y,"['Y0', 'Y1', 'Y3', 'Y4', 'Y5', 'Y6', 'Y7']",1.0,0.1,0.093,0.031,3,50,49
2+Y,"['Y0', 'Y3', 'Y4', 'Y5', 'Y7']",1.0,0.5,0.109,0.019,3,50,49
2+Y,"['Y0', 'Y3', 'Y4', 'Y5', 'Y7']",1.0,1,0.116,0.014,3,50,49
3+X,"['X2', 'X6', 'X7']",0.18,0.05,0.212,0.018,3,9,49
3+X,"['X6', 'X7']",0.1,0.1,0.202,0.015,3,5,49
3+X,"['X2', 'X6', 'X7']",0.26,0.5,0.207,0.027,3,13,49
3+X,"['X2', 'X3', 'X4', 'X5', 'X6', 'X7']",0.64,1,0.163,0.032,3,32,49
3+Y,"['Y2', 'Y3', 'Y4', 'Y5', 'Y7']",0.82,0.05,0.142,0.046,3,41,49
3+Y,"['Y2', 'Y3', 'Y4', 'Y5']",0.9,0.1,0.159,0.051,3,45,49
3+Y,"['Y2', 'Y3', 'Y4', 'Y5']",0.74,0.5,0.149,0.038,3,37,49
3+Y,"['Y2', 'Y3', 'Y4', 'Y5']",0.36,1,0.131,0.012,3,18,49
0+Y,1.0
1+Y,0.98
2+Y,1.0
3+Y,0.705
