VAEConv2d_v2_NonCausalDsprite_ber_shape2_scale5_ld10
latent_dim + gt_factor,ratio_recall,ratio,unique_classes,calsses_count,alpha,mmds_mean,std_mmds,latent_dim_range,count,n_samples
0+T,0.75,1.0,"['T0', 'T3']",2,0.5,0.015,0.001,15,201,200
0+T,0.75,1.0,"['T0', 'T3']",2,0.75,0.016,0.001,15,201,200
0+T,0.75,1.0,"['T0', 'T3']",2,1,0.017,0.001,15,201,200
0+T,0.75,1.0,"['T0', 'T3']",2,1.5,0.018,0.001,15,201,200
0+T,0.625,1.0,['T3'],1,2,0.019,0.001,15,201,200
0+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1,nan,nan,15,0,200
0+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
0+X,0.0,0.0,[],0,2,nan,nan,15,0,200
0+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
0+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
0+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
0+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
0+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
1+T,0.472,0.194,"['T0', 'T1', 'T3']",3,0.5,0.049,0.021,15,39,200
1+T,0.477,0.204,"['T0', 'T1', 'T3']",3,0.75,0.05,0.024,15,41,200
1+T,0.472,0.194,"['T0', 'T1', 'T3']",3,1,0.047,0.021,15,39,200
1+T,0.46199999999999997,0.174,"['T0', 'T1', 'T3']",3,1.5,0.042,0.017,15,35,200
1+T,0.572,0.144,"['T0', 'T1', 'T2', 'T3']",4,2,0.039,0.017,15,29,200
1+X,0.4385,0.627,"['X0', 'X5']",2,0.5,0.266,0.112,15,126,200
1+X,0.451,0.652,"['X0', 'X5']",2,0.75,0.256,0.111,15,131,200
1+X,0.4755,0.701,"['X0', 'X5']",2,1,0.248,0.107,15,141,200
1+X,0.493,0.736,"['X0', 'X5']",2,1.5,0.238,0.105,15,148,200
1+X,0.5155000000000001,0.781,"['X0', 'X5']",2,2,0.23,0.103,15,157,200
1+Y,0.2145,0.179,"['Y0', 'Y5']",2,0.5,0.214,0.066,15,36,200
1+Y,0.197,0.144,"['Y0', 'Y5']",2,0.75,0.221,0.065,15,29,200
1+Y,0.177,0.104,"['Y0', 'Y5']",2,1,0.205,0.077,15,21,200
1+Y,0.16999999999999998,0.09,"['Y0', 'Y5']",2,1.5,0.176,0.086,15,18,200
1+Y,0.1625,0.075,"['Y0', 'Y5']",2,2,0.119,0.082,15,15,200
2+T,0.733,0.716,"['T0', 'T1', 'T3']",3,0.5,0.063,0.048,15,144,200
2+T,0.7255,0.701,"['T0', 'T1', 'T3']",3,0.75,0.062,0.046,15,141,200
2+T,0.716,0.682,"['T0', 'T1', 'T3']",3,1,0.06,0.042,15,137,200
2+T,0.6910000000000001,0.632,"['T0', 'T1', 'T3']",3,1.5,0.054,0.035,15,127,200
2+T,0.6659999999999999,0.582,"['T0', 'T1', 'T3']",3,2,0.048,0.028,15,117,200
2+X,0.2045,0.284,['X7'],1,0.5,0.23,0.035,15,57,200
2+X,0.212,0.299,['X7'],1,0.75,0.228,0.039,15,60,200
2+X,0.2215,0.318,['X7'],1,1,0.226,0.041,15,64,200
2+X,0.2465,0.368,['X7'],1,1.5,0.217,0.048,15,74,200
2+X,0.27149999999999996,0.418,['X7'],1,2,0.207,0.053,15,84,200
2+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
2+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
2+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
2+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
2+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
3+T,0.75,1.0,"['T0', 'T1']",2,0.5,0.016,0.001,15,201,200
3+T,0.625,1.0,['T0'],1,0.75,0.018,0.001,15,201,200
3+T,0.625,1.0,['T0'],1,1,0.019,0.001,15,201,200
3+T,0.625,1.0,['T0'],1,1.5,0.02,0.001,15,201,200
3+T,0.625,1.0,['T0'],1,2,0.02,0.001,15,201,200
3+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
3+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
3+X,0.0,0.0,[],0,1,nan,nan,15,0,200
3+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
3+X,0.0,0.0,[],0,2,nan,nan,15,0,200
3+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
3+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
3+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
3+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
3+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
4+T,0.75,1.0,"['T0', 'T1']",2,0.5,0.016,0.0,15,201,200
4+T,0.75,1.0,"['T0', 'T1']",2,0.75,0.018,0.001,15,201,200
4+T,0.75,1.0,"['T0', 'T1']",2,1,0.019,0.001,15,201,200
4+T,0.75,1.0,"['T0', 'T3']",2,1.5,0.019,0.0,15,201,200
4+T,0.75,1.0,"['T0', 'T3']",2,2,0.02,0.001,15,201,200
4+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1,nan,nan,15,0,200
4+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
4+X,0.0,0.0,[],0,2,nan,nan,15,0,200
4+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
4+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
4+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
4+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
4+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
5+T,1.0,1.0,"['T0', 'T1', 'T2', 'T3']",4,0.5,0.018,0.001,15,201,200
5+T,0.625,1.0,['T3'],1,0.75,0.018,0.001,15,201,200
5+T,0.625,1.0,['T3'],1,1,0.019,0.001,15,201,200
5+T,0.625,1.0,['T3'],1,1.5,0.019,0.001,15,201,200
5+T,0.625,1.0,['T3'],1,2,0.019,0.001,15,201,200
5+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
5+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
5+X,0.0,0.0,[],0,1,nan,nan,15,0,200
5+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
5+X,0.0,0.0,[],0,2,nan,nan,15,0,200
5+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
5+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
5+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
5+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
5+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
6+T,0.875,1.0,"['T0', 'T1', 'T3']",3,0.5,0.016,0.0,15,201,200
6+T,0.75,1.0,"['T0', 'T3']",2,0.75,0.017,0.0,15,201,200
6+T,0.75,1.0,"['T0', 'T3']",2,1,0.018,0.0,15,201,200
6+T,0.75,1.0,"['T0', 'T3']",2,1.5,0.019,0.0,15,201,200
6+T,0.625,1.0,['T0'],1,2,0.02,0.0,15,201,200
6+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
6+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
6+X,0.0,0.0,[],0,1,nan,nan,15,0,200
6+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
6+X,0.0,0.0,[],0,2,nan,nan,15,0,200
6+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
6+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
6+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
6+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
6+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
7+T,0.492,0.234,"['T0', 'T1', 'T2']",3,0.5,0.075,0.044,15,47,200
7+T,0.452,0.154,"['T0', 'T1', 'T2']",3,0.75,0.045,0.02,15,31,200
7+T,0.442,0.134,"['T0', 'T1', 'T2']",3,1,0.039,0.014,15,27,200
7+T,0.427,0.104,"['T0', 'T1', 'T2']",3,1.5,0.034,0.009,15,21,200
7+T,0.42,0.09,"['T0', 'T1', 'T2']",3,2,0.031,0.004,15,18,200
7+X,0.501,0.627,"['X1', 'X2', 'X7']",3,0.5,0.086,0.037,15,126,200
7+X,0.496,0.617,"['X1', 'X2', 'X7']",3,0.75,0.083,0.033,15,124,200
7+X,0.5035000000000001,0.632,"['X1', 'X2', 'X7']",3,1,0.081,0.03,15,127,200
7+X,0.511,0.647,"['X1', 'X2', 'X7']",3,1.5,0.077,0.028,15,130,200
7+X,0.4985,0.622,"['X1', 'X2', 'X7']",3,2,0.073,0.025,15,125,200
7+Y,0.132,0.139,['Y3'],1,0.5,0.127,0.006,15,28,200
7+Y,0.177,0.229,['Y3'],1,0.75,0.124,0.008,15,46,200
7+Y,0.1795,0.234,['Y3'],1,1,0.119,0.008,15,47,200
7+Y,0.187,0.249,['Y3'],1,1.5,0.112,0.01,15,50,200
7+Y,0.207,0.289,['Y3'],1,2,0.11,0.014,15,58,200
8+T,0.625,1.0,['T0'],1,0.5,0.016,0.0,15,201,200
8+T,0.625,1.0,['T0'],1,0.75,0.017,0.0,15,201,200
8+T,0.625,1.0,['T0'],1,1,0.018,0.0,15,201,200
8+T,0.625,1.0,['T0'],1,1.5,0.019,0.0,15,201,200
8+T,0.625,1.0,['T0'],1,2,0.02,0.0,15,201,200
8+X,0.0,0.0,[],0,0.5,nan,nan,15,0,200
8+X,0.0,0.0,[],0,0.75,nan,nan,15,0,200
8+X,0.0,0.0,[],0,1,nan,nan,15,0,200
8+X,0.0,0.0,[],0,1.5,nan,nan,15,0,200
8+X,0.0,0.0,[],0,2,nan,nan,15,0,200
8+Y,0.0,0.0,[],0,0.5,nan,nan,15,0,200
8+Y,0.0,0.0,[],0,0.75,nan,nan,15,0,200
8+Y,0.0,0.0,[],0,1,nan,nan,15,0,200
8+Y,0.0,0.0,[],0,1.5,nan,nan,15,0,200
8+Y,0.0,0.0,[],0,2,nan,nan,15,0,200
9+T,0.637,0.274,"['T0', 'T1', 'T2', 'T3']",4,0.5,0.108,0.053,15,55,200
9+T,0.734,0.468,"['T0', 'T1', 'T2', 'T3']",4,0.75,0.14,0.066,15,94,200
9+T,0.749,0.498,"['T0', 'T1', 'T2', 'T3']",4,1,0.138,0.066,15,100,200
9+T,0.749,0.498,"['T0', 'T1', 'T2', 'T3']",4,1.5,0.135,0.067,15,100,200
9+T,0.751,0.502,"['T0', 'T1', 'T2', 'T3']",4,2,0.135,0.067,15,101,200
9+X,0.1545,0.184,['X1'],1,0.5,0.157,0.007,15,37,200
9+X,0.1545,0.184,['X1'],1,0.75,0.147,0.005,15,37,200
9+X,0.152,0.179,['X1'],1,1,0.14,0.005,15,36,200
9+X,0.157,0.189,['X1'],1,1.5,0.13,0.004,15,38,200
9+X,0.157,0.189,['X1'],1,2,0.124,0.004,15,38,200
9+Y,0.521,0.542,"['Y0', 'Y2', 'Y6', 'Y7']",4,0.5,0.124,0.067,15,109,200
9+Y,0.424,0.348,"['Y0', 'Y2', 'Y6', 'Y7']",4,0.75,0.083,0.039,15,70,200
9+Y,0.349,0.323,"['Y2', 'Y6', 'Y7']",3,1,0.077,0.034,15,65,200
9+Y,0.344,0.313,"['Y2', 'Y6', 'Y7']",3,1.5,0.072,0.032,15,63,200
9+Y,0.3415,0.308,"['Y2', 'Y6', 'Y7']",3,2,0.068,0.03,15,62,200

Per dimension per factor winner
latent_dim + gt_factor,ratio_recall,ratio
0+T,0.725,1.0
0+X,0.0,0.0
0+Y,0.0,0.0
1+T,0.491,0.182
1+X,0.475,0.699
